05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.61    0.66   144.59     9.24    46.99     0.00    0.45   0.29   0.09
dm-0              0.14     0.55    1.94    0.66   139.17     9.24    56.96     0.00    0.63   0.41   0.11
dm-3              0.00     0.00    0.76    0.00    33.53     0.00    43.97     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.72    1.21   100.83     9.24    57.04     0.00    1.39   0.47   0.09
dm-5              0.00     0.00    5.04    0.10    40.30     0.78     8.00     0.00    0.71   0.07   0.04
dm-6              0.00     0.00    0.06    0.00     0.50     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.06    0.02     0.19     0.04     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.07    0.98     0.70     7.80     8.13     0.00    1.82   0.50   0.05
dm-9              0.00     0.00    0.41    0.22    98.36     1.41   159.79     0.00    1.16   0.58   0.04
dm-1              0.00     0.00    0.09    0.00     0.71     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.09    0.00     0.71     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 08:20:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.52    0.66   142.18     9.18    47.57     0.00    0.46   0.29   0.09
dm-0              0.13     0.54    1.87    0.66   136.91     9.18    57.70     0.00    0.64   0.41   0.10
dm-3              0.00     0.00    0.72    0.00    31.69     0.00    43.76     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.70    1.20   100.58     9.18    57.63     0.00    1.40   0.47   0.09
dm-5              0.00     0.00    4.76    0.09    38.08     0.76     8.00     0.00    0.71   0.07   0.04
dm-6              0.00     0.00    0.06    0.00     0.47     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.05    0.02     0.18     0.03     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.07    0.97     0.66     7.74     8.12     0.00    1.82   0.50   0.05
dm-9              0.00     0.00    0.40    0.22    98.21     1.41   160.52     0.00    1.18   0.59   0.04
dm-1              0.00     0.00    0.09    0.00     0.70     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.09    0.00     0.70     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 08:25:03 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.45    0.66   140.39     9.14    48.19     0.00    0.47   0.30   0.09
dm-0              0.13     0.54    1.81    0.66   135.25     9.14    58.49     0.00    0.65   0.42   0.10
dm-3              0.00     0.00    0.69    0.00    30.04     0.00    43.55     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.69    1.20   100.72     9.14    58.28     0.00    1.41   0.48   0.09
dm-5              0.00     0.00    4.51    0.09    36.09     0.73     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.06    0.00     0.45     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.05    0.02     0.17     0.03     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.06    0.96     0.63     7.70     8.12     0.00    1.83   0.50   0.05
dm-9              0.00     0.00    0.40    0.22    98.44     1.41   161.49     0.00    1.18   0.59   0.04
dm-1              0.00     0.00    0.09    0.00     0.69     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.09    0.00     0.69     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 08:30:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.38    0.66   138.46     9.15    48.65     0.00    0.47   0.30   0.09
dm-0              0.12     0.54    1.76    0.66   133.43     9.15    59.06     0.00    0.66   0.43   0.10
dm-3              0.00     0.00    0.66    0.00    28.56     0.00    43.34     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.68    1.20   100.53     9.15    58.60     0.00    1.40   0.48   0.09
dm-5              0.00     0.00    4.29    0.09    34.30     0.70     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.05    0.00     0.43     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.05    0.01     0.16     0.03     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.06    0.96     0.60     7.71     8.11     0.00    1.81   0.50   0.05
dm-9              0.00     0.00    0.40    0.22    98.33     1.41   162.21     0.00    1.18   0.59   0.04
dm-1              0.00     0.00    0.09    0.00     0.69     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.09    0.00     0.69     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 08:35:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.31    0.65   137.01     9.09    49.23     0.00    0.47   0.30   0.09
dm-0              0.11     0.53    1.71    0.65   132.09     9.09    59.80     0.00    0.66   0.43   0.10
dm-3              0.00     0.00    0.63    0.00    27.22     0.00    43.14     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.66    1.19   100.66     9.09    59.25     0.00    1.40   0.47   0.09
dm-5              0.00     0.00    4.08    0.09    32.67     0.68     8.00     0.00    0.71   0.07   0.03
dm-6              0.00     0.00    0.05    0.00     0.41     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.05    0.01     0.16     0.03     3.09     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.06    0.96     0.57     7.65     8.11     0.00    1.81   0.50   0.05
dm-9              0.00     0.00    0.40    0.22    98.53     1.41   162.98     0.00    1.18   0.58   0.04
dm-1              0.00     0.00    0.08    0.00     0.68     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.68     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 08:40:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    2.26    0.65   135.69     9.07    49.78     0.00    0.48   0.30   0.09
dm-0              0.11     0.53    1.66    0.65   130.86     9.07    60.49     0.00    0.67   0.43   0.10
dm-3              0.00     0.00    0.61    0.00    26.00     0.00    42.93     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    0.65    1.19   100.78     9.07    59.74     0.00    1.42   0.48   0.09
